Frame,ts,capsfilter0,queue0,vaapipostproc0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
226,12086969080,0.149337,0.383524,5.131343,0.732456,11.40757,0.894964,1.494847,0.476326,0.318959,,
227,12117548075,0.101102,0.577734,5.277551,0.812041,6.05989,1.467421,1.514888,0.603851,0.27279,,
228,12146910731,0.101703,0.314831,5.169081,0.722464,7.40464,1.434026,1.965483,0.539228,0.292352,,
229,12181971259,0.148231,0.348669,5.161283,0.761939,6.459422,1.393454,1.631603,0.534902,0.297571,,
230,12214520551,0.101021,0.311492,5.120562,0.747857,6.24224,1.393228,1.470064,0.546986,0.298901,,
231,12247894564,0.146711,0.545381,5.308829,0.78667,7.290165,1.39382,2.093027,0.682644,0.270516,,
232,12283694631,0.140846,0.275233,5.133133,0.853003,6.800523,1.493677,1.498936,0.564538,0.27886,0.232627,
233,12316127832,0.139106,0.332142,5.098008,0.732489,7.63849,1.442546,2.076579,0.520053,0.280766,,
234,12351313711,0.14439,0.288787,5.114386,0.926345,6.189841,1.354677,1.555271,0.592058,0.300721,,
235,12383057195,0.153818,0.356831,5.233162,0.722724,6.967228,1.388048,1.932093,0.531187,0.284327,,0.144547
236,12418030781,0.100058,0.329191,5.221505,0.752121,6.878815,1.428623,1.93592,0.567416,0.298197,,
237,12451721495,0.099939,0.520967,5.474711,0.712333,12.881293,0.866021,1.959307,0.552851,0.305429,,
238,12491524433,0.125585,0.343032,5.266961,0.78009,6.606786,1.43117,1.472315,0.713786,0.296624,,
239,12518644301,0.146981,0.297153,5.244398,0.761564,6.426686,1.568165,1.788184,0.536219,0.314845,,
240,12552565335,0.149255,0.31274,5.25895,0.767024,6.478357,1.449192,1.821849,0.520618,0.283981,,
241,12586384072,0.140964,0.340475,5.136554,0.758987,9.46966,1.414986,2.28805,0.575353,0.308971,,
242,12623493663,0.141748,0.320844,5.305,0.730271,10.694047,0.899768,1.476928,0.619394,0.27468,,
243,12657286158,0.155192,0.333614,5.271455,0.816512,6.507315,1.493284,1.744136,0.558975,0.30056,,
244,12687745963,0.149225,0.334012,5.162787,0.774267,7.375067,1.4681,1.824579,0.560683,0.269225,,
245,12722326383,0.149066,0.328909,5.150967,0.749847,7.045183,1.433593,2.129223,0.559361,0.281486,,
246,12756012862,0.101111,0.355439,5.220106,0.733526,6.276673,1.544501,1.599917,0.589245,0.291699,,
247,12788723977,0.155481,0.288662,5.226442,0.810474,6.323429,1.353039,1.567277,0.515528,0.425363,,
248,12822226211,0.144375,0.574846,5.743035,0.738909,10.634607,0.985804,1.655025,0.539055,0.269968,,
249,12860898319,0.146988,0.375648,5.117575,0.807487,6.981785,1.374349,2.102347,0.567573,0.391383,,
250,12891403254,0.101093,0.552987,5.620299,0.817906,6.381209,1.507864,1.744919,0.551341,0.32208,,
251,12924687977,0.144941,0.270275,5.174831,0.77363,6.583585,1.548122,2.072531,0.57821,0.333532,,
252,12958373860,0.100082,0.363917,5.161524,1.060377,6.581268,1.600219,1.853966,0.594019,0.330408,,
253,12992189843,0.148536,0.36647,5.246324,0.759672,13.08247,0.962605,2.043983,0.578918,0.301962,,
254,13031888447,0.143232,0.366434,5.332938,0.786702,6.56739,1.472143,1.923262,0.61565,0.331736,,
255,13059581676,0.146315,0.3466,5.212852,0.822073,6.98603,0.782222,0.44918,0.585721,0.323869,,
256,13090854348,,,,,,,,0.123714,0.117115,,
257,13096619703,,,,,,,,0.175482,0.194769,,
258,13097637949,0.10139,0.556738,7.433445,0.776207,6.142415,0.675888,0.542753,0.177699,0.107572,,
259,13126228301,0.155816,0.561857,5.518976,0.924924,6.458867,0.637182,0.511595,0.200111,0.115185,,
260,13158461291,0.158779,0.319804,5.323061,0.813895,5.715862,0.672307,0.289568,0.148178,0.129448,,
