Frame,ts,rtpsession0,rtpstorage0,rtpssrcdemux0,rtpjitterbuffer0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
305,1286854397,0.039776,0.068959,0.040544,0.112896,0.051199,0.05424,,,,,,,,
306,1287116060,0.035616,0.045088,0.035136,0.15216,0.067616,0.048352,,,,,,,,
307,1287301467,0.033696,0.041791,0.032608,0.183295,,,,,,,,,,
308,1287407739,0.031264,0.041696,0.072608,,0.086176,0.04992,,,,,,,,
309,1287655066,0.035775,0.279904,0.040991,0.320991,0.074783,0.263616,,,,,,,,
310,1288066329,0.033184,0.039392,0.031968,0.603742,0.052288,0.05328,,,,,,,,
311,1288456760,,,,0.462175,0.061152,0.057408,,,,,,,,
312,1288708087,0.056352,0.051872,0.039136,0.553822,0.070496,0.055968,,,,,,,,
313,1289545397,0.040064,0.073887,0.038816,0.036448,0.057568,0.055936,,,,,,,,
314,1289753364,0.038752,0.063488,0.052576,0.080192,0.057824,0.058784,,,,,,,,
315,1289996307,0.037311,0.044512,0.03312,0.126879,0.07216,0.05328,,,,,,,,
316,1290196787,0.037536,0.045056,0.036064,0.196832,0.059008,0.056415,,,,,,,,
317,1290571186,,,,0.280735,0.056736,0.0576,0.072159,1.031293,0.052896,6.706636,11.379198,,14.40383,2.531512
318,1299521943,0.105152,0.101279,0.049984,0.055648,,,,,,,0.77587,0.255167,,
319,1305790533,0.035712,0.074784,0.039711,,0.097311,0.118304,,,,,,,,
320,1306009636,0.033312,0.040896,0.030112,0.274784,0.088704,0.086175,,,,,,,,
321,1306570690,0.083039,0.118848,0.045664,0.449278,0.082208,0.081664,0.090176,0.387871,0.062271,,10.086754,,12.124572,1.169276
322,1310526039,0.032992,0.04144,0.032287,,,,,,,,,,,
323,1310674870,0.032192,0.040896,0.03072,0.252607,,0.168288,,,,,,,,
324,1310927509,0.030464,0.076447,0.036128,,0.113599,,,,,,,,,
325,1311108693,0.03264,0.042272,0.051232,0.66243,,,,,,,,,,
326,1311406740,0.046016,0.121216,0.049312,,,,,,,,,,,
327,1311648115,0.036096,0.04624,0.03296,,,,,,,,,,,
328,1311850739,0.028288,0.06704,0.031584,,,0.082464,,,,,,,,
329,1311982706,0.026656,0.031232,0.096832,,0.672446,,,,,,,,,
330,1312219314,0.02864,0.033472,0.027391,1.533691,,,,,,,,,,
331,1312348369,0.025344,0.03424,0.028736,,0.085952,0.090752,,,,5.157777,,,,
332,1312604624,0.032543,0.038688,0.030464,1.654555,0.100576,0.072672,,,,,0.307775,,,
333,1312911183,0.02576,0.210879,0.029344,1.802426,,,,,,,,,,
334,1312998607,0.025504,0.031392,0.059456,,0.115456,0.071648,,,,,,0.339839,,
335,1313234862,0.027296,0.034815,0.026752,1.88953,0.091904,0.073536,,,,,,,,
336,1313755213,0.055552,0.082655,0.04032,2.003066,0.070528,0.071072,,,,,,,,
337,1314037644,0.032576,0.05856,0.066656,2.117689,0.073856,0.077888,,,,,,,,
338,1314393995,0.034176,0.178047,,2.247353,0.0672,0.067104,,,,,,,,
339,1314700490,0.036736,0.05056,0.045376,2.411481,0.070336,0.068704,,,,,,,,
340,1314966569,0.0288,0.03584,0.032864,,,,,,,,,,,
341,1315102409,0.029792,0.03584,0.028096,,,,,,,,,,,
342,1315105225,,,0.035136,2.72812,0.085024,0.175327,,,,,,,,
343,1315909319,0.056288,0.061728,0.03184,3.168055,0.081695,0.106176,,,,,,,,
344,1316255206,0.029056,0.035999,0.044736,3.229463,0.079327,0.074656,,,,,,,,
345,1316470021,0.028384,0.03488,0.047936,3.391094,0.077503,0.088704,,,,,,,,
346,1316893124,0.039296,0.090367,0.047584,3.56111,0.130655,0.065376,,,,,,,,
347,1317164643,0.027264,0.036832,0.027008,3.232727,,,,,,,,,,
348,1317248931,0.026944,0.034527,0.062528,,0.083071,0.06592,,,,,,,,
349,1317462306,0.02656,0.034112,0.025248,3.355446,,,,,,,,,,
350,1317601826,0.02432,0.048512,0.030623,,0.072959,0.07184,,,,,,,,
351,1317755233,0.027648,0.03744,0.026016,,,,,,,,,,,
352,1317882369,0.02656,0.035264,0.044,3.127639,0.075456,0.174751,,,,,,,,
