Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,convertor
194,833689571,,,49.729161,,0.054656,0.065184,,,,,,,
195,833941570,,,49.250283,,0.051232,0.055967,,,,1.787835,,,
196,834223138,,,49.174347,,0.05568,0.084512,,,,,,,
197,834460321,,,49.076811,,0.047264,0.0472,,,,,,,
198,834679137,,,48.961771,,0.043648,0.044992,,,,,,,
199,834918816,,,48.831243,,0.054752,0.052864,,,,1.658972,,,
200,835180320,,,48.764428,,0.057919,0.053728,,,,,,,
201,835468959,,,48.697324,,0.059456,0.077024,,,,,,,
202,835737566,,,48.653868,,0.056832,0.057344,,,,,,,
203,836004382,,,48.586092,,0.055967,0.056576,,,,,,,
204,836270141,,,48.554892,,0.056544,0.056544,,,,,,,
205,836537372,,,48.469612,,0.05648,0.056736,,,,,,,
206,836800316,,,48.401101,,0.070175,0.055584,,,,,,,
207,837141595,,,48.403469,,0.060704,0.07024,,,,,,,
208,837416250,,,48.328428,,0.057152,0.06112,,,,,,,
209,837724089,,,48.256525,,0.056416,0.065727,,,,,,,
210,837992441,,,48.208749,,0.05552,0.060544,,,,,,,
211,838251928,,,48.162253,,0.053088,0.056864,,,,,,,
212,838521688,,,48.10699,,0.059007,0.070336,,,,,,,
213,838792215,,,48.037165,,0.053568,0.06016,,,,,,,
214,839046550,,,47.958093,,0.055104,0.054496,,,,,,,
215,839316214,,,47.916206,,0.059104,0.061568,,,,,,,
216,839590229,,,47.901038,,0.059232,0.060032,,,,,,,
217,839824436,0.130079,0.168064,47.890317,0.083744,0.156256,0.056224,,,,,,,
218,840283443,0.068576,0.078048,48.017453,0.061152,0.058112,0.060064,,,,,,,
219,840593747,0.058016,,48.02139,,0.065695,0.065472,,,,,,,
220,840826226,,0.236575,47.987597,0.134912,0.15344,0.064416,,,,,,,
221,841268817,,,48.054797,,0.057952,0.061376,,,,,,,
222,841528176,,,48.028621,,0.05616,0.054624,,,,,,,
223,841785264,,,47.987086,,0.054368,0.05408,,,,,,,
224,842021775,,,47.883437,,0.048,0.048096,0.096512,1.63462,0.08848,,,,
225,844168618,,,30.668311,,0.050816,0.060352,,,,,,,
226,844571593,,,30.302551,,0.047232,0.056768,,,,,,,
227,844784809,,,30.124152,,0.047039,0.046112,0.044096,0.279968,0.044064,,,,
228,845420711,,,15.359579,,0.048096,0.055264,,,,,,,
229,845666566,,,14.973917,,0.0472,0.053471,,,,,,,
230,845883398,,,14.85622,,0.04352,0.047712,0.04032,0.223231,0.045696,,,,
231,846471845,,,6.339569,,0.048575,0.056032,,,,,,,
232,846705892,,,6.212849,,0.050464,0.0512,,,,,,,
233,846958787,,,5.928882,,0.0512,0.068767,0.04448,,,4.702869,,,
234,849049022,,,,,,,,1.994555,0.077248,3.814614,,,
235,853390516,,,,,,,,,,5.589395,,,
236,860423171,0.182079,0.185152,0.103999,0.109856,0.095712,0.147072,,,,4.264246,,,
237,864712441,0.161407,0.167808,,0.15344,,,,,,,,,
238,865143992,0.08128,0.082016,0.611774,0.051712,0.059712,0.107296,,,,,,,
239,865813110,0.17936,0.215967,0.574431,0.142144,0.0392,0.042975,0.082144,0.449951,0.050944,2.252251,,,
240,877575066,0.082591,0.079648,0.141312,0.069824,0.150816,0.157727,,,,,,,
241,877994649,0.064224,0.075007,0.618143,0.057088,0.105024,0.131103,,,,,,,
242,878927287,0.104032,0.096192,0.784222,0.06672,0.089568,0.091328,,,,,,,
243,880180308,0.068032,0.080959,0.118303,0.068928,0.093152,0.118784,,,,,,,
244,880746995,0.054176,0.069536,0.267392,0.052,,,,,,,,,
245,880929746,0.051584,0.08672,,0.120768,0.122944,0.117023,,,,,,,
246,881292881,0.055104,0.067551,0.493886,0.053248,0.104,0.08016,,,,,,,
247,881596081,0.051456,0.07248,0.564255,0.057952,,,,,,,,,
248,881781008,0.052096,0.069792,,0.054528,0.108096,0.084319,,,,,,,
249,882109104,0.05728,0.066943,0.711807,0.052768,0.104032,0.078591,,,,,,,
250,882404303,0.051904,0.064896,0.851422,0.054592,,,,,,,,,
251,882587150,0.051679,0.07056,,0.05104,0.100864,0.081695,,,,,,,
252,882903182,0.054752,0.54867,0.997534,0.06912,0.088064,0.535198,,,,,,,
253,883706892,0.056704,0.066816,1.525149,0.052384,,0.094847,,,,,,,
254,883914251,0.0528,0.071776,,0.060736,0.08368,,,,,,,,
255,884145611,0.051392,0.077791,1.686716,0.09264,0.088288,0.146847,,,,,,,
256,884672169,,,1.887036,,0.079712,0.084191,,,,,,,
257,885063016,0.68067,0.081568,1.472861,0.041952,0.076896,0.113151,,,,,,,
258,885371656,0.032416,0.037248,1.619388,0.0264,,,,,,,,,
259,885476840,0.028575,0.0608,1.740348,0.090848,0.082975,0.098176,,,,,,,
260,885857927,0.06336,0.066495,,0.050496,0.068959,0.069184,,,,,,,
261,886133222,0.049856,0.06224,1.811356,0.079776,0.102944,0.078048,,,,,,,
262,886472325,0.049248,0.062368,1.274749,0.050368,,0.098112,,,,,,,
263,886683621,0.048576,0.054816,,0.045151,0.078112,,,,,,,,
264,886872996,0.047776,0.05984,1.47494,0.046432,0.06448,0.06448,,,,,,,
265,887169475,0.04912,0.061055,1.53798,0.051808,0.072032,0.063328,,,,,,,
266,887389507,0.047584,0.05536,1.528989,0.051168,,,,,,,,,
267,887575906,0.049408,0.057567,,0.04576,0.065344,0.071999,,,,,,,
268,887828226,0.046688,0.078656,1.591292,0.071936,0.07568,0.067552,,,,,,,
269,888132417,0.050688,0.063264,1.633148,0.048064,,0.092864,,,,,,,
270,888323745,0.047552,0.059488,1.778268,0.052031,0.07504,0.075072,,,,,,,
271,888883071,,,1.913147,,0.08736,0.07136,,,,,,,
272,889297054,,,2.075771,,0.099424,0.088512,,,,,,,
273,889713533,,,2.272858,,0.089152,0.087392,,,,,,,
274,890128700,,,2.471514,,0.086784,0.092192,,,,,,,
275,890549467,,,2.629913,,0.08896,0.08896,,,,,,,
276,891013402,,,2.832921,,0.090144,0.09856,,,,,,,
277,891448569,,,3.038073,,0.093088,0.088576,,,,,,,
278,891785688,0.147136,0.1616,,0.124735,0.088288,,0.160255,2.609562,0.108672,6.432145,,,
279,901385442,0.062688,0.08272,,0.054399,,,,,,,,,
280,901669025,0.049792,0.06272,4.07103,0.048544,0.059968,0.144096,,,,,,,
281,905561464,,,4.076087,,0.040415,0.045536,,,,,,,
282,905743415,0.133952,0.131872,3.985238,0.111679,0.039584,0.040608,0.049728,0.235455,0.039968,,,,
283,907081364,0.060928,0.072544,0.084448,0.059392,0.047776,0.066336,,,,,,,
284,907359635,0.053824,0.068864,0.056415,0.058176,0.040416,0.045728,,,,,,,81.966812
285,907635187,,,0.058048,,0.067967,0.051168,0.04864,0.22624,0.035392,2.143451,,,
286,915205249,0.11728,0.129216,0.17792,0.060447,0.056448,0.098816,,,,2.42937,4.762453,0.232735,4.747253
287,926778181,0.07552,0.107296,0.041312,0.041792,0.046207,0.064992,,,,,,,
288,927960514,0.055392,0.061216,0.03648,0.040576,0.040896,0.0464,0.074592,0.235359,0.034944,2.216539,0.516446,0.18768,2.549754
289,941552738,0.115104,0.113088,0.040544,0.037856,0.066976,0.068383,,,,,,,
290,942104672,0.030463,0.038208,,0.02944,,,,,,,,,
291,942233440,0.024448,0.034976,0.185312,0.024672,0.038688,0.052288,,,,,,,
292,942611583,0.087104,0.083392,0.310847,0.043775,0.037632,0.042624,0.042048,0.251455,0.035808,2.370267,0.325695,0.164223,2.397019
293,950149005,0.032512,0.039488,0.100384,0.098176,0.05632,0.075968,,,,,,,
294,950403437,0.032,0.036992,0.12032,0.043455,0.04096,0.041791,,,,,,,
295,950585996,0.030304,0.038688,0.12896,0.030944,0.03456,0.036736,,,,,,,
296,950742124,0.029408,0.04992,0.138624,0.033504,0.044,0.05728,,,,,,,
297,950896011,0.028352,0.042687,0.201471,0.031776,,,,,,,,,
298,951016843,0.029184,0.036352,,0.030016,0.037312,0.039744,,,,,,,
299,951151563,0.028352,0.036,0.223776,0.044448,0.049248,0.034464,,,,,,,
300,951326762,0.028639,0.035744,0.265951,0.0304,0.03504,0.035488,,,,,,,
301,951462378,0.028128,0.036736,0.272639,0.02864,,0.038208,,,,,,,
302,951566954,0.02672,0.037216,0.354303,0.051904,0.037408,,,,,,,,
303,951752489,0.030559,0.04672,,0.037856,0.036384,0.041024,,,,,,,
304,951890569,0.025792,0.030624,0.399551,0.03712,0.038656,0.039584,,,,,,,
305,952056521,0.026752,0.03552,0.417791,0.043616,0.040256,0.056415,,,,,,,
306,952212168,0.02592,0.034656,0.447871,0.025408,,0.038656,,,,,,,
307,952331912,0.02512,0.045152,0.479647,0.02736,0.036928,0.033152,,,,,,,
308,952495144,0.026368,0.325439,0.785598,0.030016,0.033632,,,,,,,,
309,952926407,0.02528,0.03184,,0.025791,0.037823,0.040672,,,,,,,
310,953070214,0.02496,0.033088,0.832638,0.027968,0.05168,0.038976,,,,,,,
311,953229446,0.023936,0.047552,0.887102,0.026592,0.036288,0.037184,,,,,,,
312,953369094,0.024672,0.046912,,0.030943,,,,,,,,,
313,953466309,0.025376,0.03936,0.61571,0.027872,0.053248,0.054464,,,,,,,
314,953631077,0.02592,0.033344,0.695967,0.028832,0.034752,0.03584,,,,,,,
315,953784165,0.025696,0.052352,0.727934,0.029759,,,,,,,,,
316,953884900,0.024672,0.034016,,0.027072,0.046912,0.038208,,,,,,,
317,954027652,0.025696,0.032992,0.771614,0.043904,0.04816,0.037856,,,,,,,
318,954201860,0.024992,0.034368,0.807135,0.025023,0.035456,0.033919,,,,,,,
319,954336547,0.027168,0.034304,0.833662,0.02608,,0.0344,,,,,,,
320,954433283,0.024352,0.032352,0.881054,0.037504,0.033632,,,,,,,,
321,954583395,0.024384,0.046528,,0.028224,0.03536,0.042432,,,,,,,
322,954712866,0.025248,0.03232,0.898942,0.038528,0.036896,0.036096,,,,,,,
323,954904642,,,0.93155,,0.030944,0.031456,,,,,,,
324,955074561,,,0.954974,,0.034304,0.036927,,,,,,,
325,955232065,,,0.972158,,0.032768,0.033024,,,,,,,
326,955384225,,,0.986846,,0.031488,0.034752,,,,,,,
327,955532096,,,1.009693,,0.031232,0.0312,,,,,,,
328,955678208,,,1.020061,,0.031776,0.03088,,,,,,,
329,955826944,0.098976,0.084672,1.03187,0.039104,0.042656,0.03168,0.065375,1.062526,0.037568,4.641429,2.555418,0.172415,2.58345
330,976869325,0.041632,0.046304,0.063968,0.053568,0.04784,0.065407,,,,,,,
331,977329740,0.02592,0.032864,0.030527,0.02816,0.042016,0.048704,,,,,,,
332,977516876,0.09232,0.084607,0.088224,0.043168,0.035424,0.037888,0.043968,0.210367,0.031552,2.788537,0.528031,0.1904,2.658681
333,991704074,0.032192,0.04896,0.042976,0.03456,0.079424,0.092224,,,,,,,
