Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
229,1010487815,0.045631,0.219929,,0.051295,,,,,,,,,,
230,1010653282,0.043231,0.056702,0.506609,0.089566,0.09571,0.12918,,,,,,,,
231,1010968505,0.043102,0.052031,,0.044671,,,,,,,,,,
232,1011090709,0.040383,0.051486,0.551599,0.049471,0.074174,0.099965,,,,,,,,
233,1011469546,0.044638,0.056895,0.667436,0.284567,0.128924,0.165883,,,,,,,,
234,1012042425,0.044639,0.225657,1.072512,0.041279,,0.055934,,,,,,,,
235,1012274610,0.031775,0.166267,1.2063,0.064862,0.132988,0.042239,,,,,,,,
236,1012501963,0.029599,0.039359,0.935876,0.053118,0.041758,,,,,,,,,
237,1012676774,0.026463,0.045471,,0.037983,0.043231,0.043071,,,,,,,,
238,1012818466,0.026432,0.030943,0.734762,0.040414,0.038175,0.040063,,,,,,,,
239,1012977693,0.024607,0.031903,0.594319,0.044031,,0.066878,,,,,,,,
240,1013105849,0.024863,0.030399,,0.026975,0.046974,,,,,,,,,
241,1013210934,0.023039,0.033055,0.635501,0.024352,0.040159,0.052031,,,,,,,,
242,1013358962,0.024415,0.028895,,0.023775,,,,,,,,,,
243,1013479342,0.02272,0.039614,0.724746,0.024768,0.042399,0.076766,,,,,,,,
244,1013613610,0.024191,0.028831,0.798569,0.025728,,,,,,,,,,
245,1013708968,0.023231,0.027103,,0.051743,0.059998,0.039711,,,,,,,,
246,1013885730,0.025759,0.033759,0.86983,0.039839,0.050654,0.049279,,,,,,,,
247,1014163770,0.032575,0.039711,1.148734,0.029535,0.050495,0.05683,,,,,,,,
248,1014631756,,,1.311193,,0.049663,0.051294,,,,,,,,
249,1014887397,,,1.449557,,0.047742,0.055103,,,,,,,,
250,1015475091,,,1.89028,,0.06467,0.080701,,,,,,,,
251,1015720268,,,2.028643,,0.054622,0.052287,,,,,,,,
252,1015950853,,,2.122529,,0.071998,0.051358,,,,,,,,
253,1016213117,,,2.234366,,0.053279,0.053182,,,,,,,,
254,1016494005,0.085149,0.137084,2.227838,0.056734,0.053886,0.072862,,,,,,,,
255,1020663417,0.057567,0.059358,0.067326,0.047806,0.080286,0.105437,,,,,,,,
256,1022953365,0.065054,0.066718,0.048895,0.030047,0.06467,0.086269,,,,,,,,
257,1024251311,0.062366,0.064638,0.031327,0.039455,0.075838,0.066974,,,,,,,,
258,1025259857,0.036767,0.040767,0.209882,0.033119,,,,,,,,,,
259,1025402221,0.033535,0.039423,,0.057343,0.059166,0.069182,,,,,,,,
260,1025600039,0.035007,0.045758,0.307063,0.091006,0.101885,0.058558,,,,,,,,
261,1025877407,0.035583,0.044639,2.952968,0.034431,0.070622,0.084541,0.157083,2.106786,0.102781,,,,,
262,1028874310,,,3.096836,,0.070942,0.071838,,,,,,,,
