Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
234,16168092807,0.114303,31.87568,9.333831,32.203162,0.759604,6.1659,,,0.165367,0.072107,,
235,16212381210,0.066565,,6.794117,,,,1.375701,0.434921,0.16965,0.073382,,
236,16247195028,0.117175,38.830663,6.944001,32.98139,0.820106,6.074121,0.868921,0.478422,0.18099,0.073299,,
237,16289912030,0.118063,16.771178,6.966325,32.476987,0.787594,6.146746,0.70256,0.403167,0.186936,0.072846,,
238,16332482154,0.118424,25.306143,6.883309,32.09103,0.709222,5.98075,0.682842,0.437569,0.180209,0.094157,,
239,16374599730,0.083888,33.686962,,31.983901,0.786876,,,,,,,
240,16381425537,0.109209,,6.959405,,,6.038931,0.574426,0.42766,0.170978,0.073617,,
241,16417089504,0.07919,41.0565,7.281999,32.273959,0.764788,6.311113,0.618555,0.443345,0.230942,0.075745,,
242,16459320976,0.114827,17.21418,7.100164,31.508392,0.787208,6.086317,0.641701,0.596461,0.185088,0.074241,,
243,16502295804,0.087343,26.42215,,32.462921,0.78319,6.103614,0.715872,0.457453,0.170693,0.074466,,
244,16512541788,0.085565,,6.850388,32.403549,0.776178,,,,,,,
245,16548276980,0.146852,35.305113,7.220128,,,6.098433,0.607567,0.425535,0.173196,0.149855,,
246,16587237645,0.126457,7.147602,6.804945,31.740537,0.778958,7.543116,1.024691,0.524185,0.139153,0.105626,,
247,16629832567,0.077243,13.779906,6.987774,32.351589,0.779822,6.24376,0.743043,0.867328,0.228049,0.107761,,
248,16672647822,0.085438,27.807528,,32.38529,0.746581,7.793909,,,,,,
249,16681999720,0.033637,,6.642576,,,,0.811408,0.425086,0.160148,0.108807,,
250,16716087987,0.109895,37.732448,6.761779,33.487351,0.773567,6.203484,0.627745,0.429138,0.208397,0.108702,,
251,16758749939,0.137968,10.649018,6.82318,32.478879,0.808583,6.089948,0.660783,0.476543,0.217811,0.114999,,
252,16801345415,0.078407,17.166416,6.934569,32.283277,0.791686,6.15546,0.737776,0.438709,0.176165,0.073112,,
253,16843996142,0.115579,30.390879,,32.352467,0.903852,6.022192,,,,,,
254,16851692579,0.035225,,6.767636,,,,0.770393,0.428429,0.165379,0.100353,,
255,16886645872,0.087105,38.777582,7.815348,32.439611,0.805125,6.046637,0.625988,0.45656,0.139642,0.1502,,
256,16933615898,0.081533,17.282634,7.972926,35.858613,0.745279,6.129204,0.632504,0.428533,0.169131,0.10431,,
