Frame,ts,capsfilter0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,pay0
247,46990681525,0.044948,2.123816,9.492628,0.263288,10082.800169,0.247448
248,47456955754,0.045271,2.076612,13.883537,0.235712,,0.1242
249,47665315590,0.045123,2.142482,19.658819,0.254314,,0.173898
250,47763185469,0.045956,2.133156,9.737489,0.273723,,0.181842
251,47780076563,0.078053,2.038367,9.765811,0.233027,10026.214191,0.21756
252,48226369253,0.046453,2.137645,9.781406,0.247792,,0.15277
253,48710847050,0.071202,2.154232,15.008761,0.257304,,0.159601
254,48798643385,0.04503,2.125154,10.828776,0.263255,,0.150752
255,48816161636,0.062985,2.061927,9.581083,0.282801,9431.334451,0.218706
256,49234702540,0.045012,2.118602,13.363188,0.242742,,0.159817
257,49393002380,0.04488,2.06224,10.795662,0.244997,,0.173534
258,49715001655,0.046501,2.105362,11.41693,0.316046,,0.172663
259,49942257450,0.046628,2.117665,11.18063,0.312683,9552.70806,0.245725
260,49965050929,0.074186,2.042043,10.592987,0.236392,,1.121219
261,50439859247,0.048788,6.432107,17.017476,0.273166,,0.193211
262,50669226356,0.065964,3.137493,13.105768,0.27502,,0.153105
263,50688988647,0.045412,2.060742,17.924929,0.239708,9233.790278,0.210522
264,50921812567,0.04547,2.115121,9.710235,0.234781,,0.156343
265,51434627466,0.079267,2.14618,10.205012,0.284315,,
